chinese_name,english_names,english_descriptions,chinese_spans,csi_category_stage_1,csi_consensus_spans,csi_or_not,csi_category_stage_2
荔蓉炸芋角,"['taro croquette with pork and shrimp', 'deep fried prawn dumplings with salad cream']","['', 'contain pork']",荔蓉 芋角 炸芋,1,荔蓉,1,1.0
椒盐排骨,"['salt and pepper spare ribs', 'Salt and Pepper Spareribs', 'salt and pepper pork spare ribs pieces', 'spare ribs with chilli and salt', 'fried spare ribs with spiced salt', 'salt and chilli spare ribs', 'salt & pepper spare ribs']","['', 'Fried Spare ribs with pepper garlic and chilli', 'Salt, Pepper, Spare Ribs, Onion, Potato Starch', '', '', '', '']",椒盐 排骨,0,,0,
鸡蛋炒饭,"['fried rice', 'stir-fried rice with egg', 'egg fried rice']","['', 'Egg, Rice, Spring Onion', '']",鸡 炒饭 蛋炒饭,0,,0,
星洲炒饭,"['singapore spicy fried rice', 'singapore style fried rice']","['', '']",星洲 炒饭,0,,0,
椒盐薯条,"['salt and pepper fries', 'salt and pepper chips']","['', '']",椒盐 薯条,0,,0,
梅子鸭片煲,['roasted duck with plum sauce in clay pot'],[''],梅子 鸭片 煲,0,,0,
川东少妇鸡,"['sauteed chicken with green pepper and black bean sauce, east, sichuan style']",[''],川东 少妇 鸡,0,,0,
韭菜虾饺,"['prawn and chives dumpling', 'prawn chives dumpling', 'prawn and chinese chive dumpling']","['', '', '']",韭菜 虾饺,0,,0,
生菜丝咸鱼鸡粒炒饭,"['stir-fried rice with diced chicken, salted fish and shredded lettuce']",[''],生菜 丝 咸鱼 鸡粒 炒饭,0,,0,
椰香南瓜饼,['pan fried pumpkin cake v'],[''],椰香 南瓜 南瓜饼,0,,0,
脆皮自制豆腐,['crispy home made tofu with crushed olive'],['(v)'],脆皮 自制 豆腐,0,,0,
百花酿蟹钳,"['deep fried crab claw stuffed with prawn meat', 'deep fried crab claws']","['', '']",蟹 蟹钳 百花酿,1,百花酿,1,1.0
牛腩汤面,"['beef brisket in soup with noodle rice stick udon', 'beef brisket noodle soup', 'beef belly noodle soup']","['', '', '']",牛腩 汤面,0,,0,
叉烧烧鸭饭,['char siu and roast duck with rice'],[''],叉烧 烧鸭 饭,0,,0,
大虾炒面,"['king prawn fried noodle', 'prawn chow mein', 'king prawn fried noodles', 'stir fried egg noodle with king prawns', 'king prawn chow mein']","['', 'Fried egg noodles with prawns onions and beans sprout', '', '', '']",大虾 炒面,0,,0,
虾多士,"['sesame prawn toast pieces', 'sesame prawn on baguette', 'sesame prawn toast', 'toasted sesame prawns']","['', '', '', '']",虾多士,1,虾多士,1,
豉椒羊肉,['sliced lamb with green pepper in black bean sauce'],[''],豉椒 羊肉,0,,0,
百花酿鸭片,['pak far roasted duck with prawn meat stuffing'],[''],鸭片 百花酿 百花,1,百花酿,1,1.0
铁板姜葱大虾,['sizzling king prawns with ginger and spring onions'],[''],铁板 姜葱 大虾,0,,0,
牛肉炒面,"['beef chow mein', 'beef fried noodle', 'stir fried egg noodle with beef']","['', '', '']",牛肉 炒面,0,,0,0.0
干锅牛腩,"['dry pot beef brisket', 'beef brisket cooked in hot pan']","['', '']",干锅 牛腩,0,,0,
粟米鸡汤,['chicken sweetcorn soup'],[''],粟米 鸡汤,0,,0,0.0
皮蛋瘦肉粥,"['lean pork with preserved egg congee', 'salty pork and black egg congee', 'pork and century egg', 'preserved egg and pork', 'congee with minced pork and preserved egg']","['', 'Congee', '', '', '']",皮蛋 瘦肉 瘦肉粥,0,,0,
宫保鸡丁,"['gongbao diced chicken with peanuts & dried chilli', 'gong bao chicken roasted peanuts and essence', 'kung pao chicken', 'Kung Pao chicken', 'kung pao chicken ', 'Wok-fried Diced Chicken with Cashew Nuts and Red Pepper', 'classic imperial gongbao chicken', 'kong po chicken sichuan style']","['', 'Chicken, Sichuan Pepper Corn, Peanuts & Dried Chilli', 'Named after an Imperial Governor of Sichuan;A medley of chicken cubes cashew nuts and red chillies in a tangy sweet sauce laced with chilli spice fresh garlic and a touch of numbing Sichuan pepper', '', '', '', '', '']",宫保鸡 丁 宫保,1,宫保,1,1.0
豉椒牛肉,"['beef with green pepper and black bean', 'beef with green peppers and black bean sauce', 'beef with black bean sauce', 'spicy beef in chilli and black bean sauce', 'beef with green pepper in black bean sauce']","['', '', '', '', '']",豉椒 牛肉,0,,0,
斋春卷,"['crispy vegetarian spring roll', 'vegetable spring roll', 'vegetable spring rolls', 'vegetarian spring rolls']","['', '', '', '']",斋 春卷,1,,1,
黄金蛋炒饭,['golden egg fried rice'],['(v)'],黄金 炒饭 蛋炒饭,0,,0,
鸡肉生菜包,"['chicken lettuce wrap served with hoi sin sauce', 'lettuce wrapped minced chicken']","['', '']",鸡肉 生菜 包,0,,0,
黑蒜海鲜粒炒饭,"['egg fried rice with shrimps and diced roast duck', 'diced lobster fried rice with salted duck egg']","['', '']",黑蒜 海鲜 粒 炒饭,0,,0,0.0
脆皮烧肉虾胶,[' the cantonese barbecued pork crackling with prawnplum and truffle'],[''],烧肉 虾胶 脆皮,1,虾胶,1,1.0
黑椒鸡卷,"['chicken roll in black pepper sauce', 'steamed chicken roll in oyster sauce']","['', '']",黑椒 鸡卷,0,,0,
姜葱羊肉,"['lamb with ginger and spring onion', 'sliced lamb with ginger and spring onion']","['', 'Stir fried sliced lamb with ginger and spring onion']",姜葱 羊肉,0,,0,
干锅肥肠,"['griddle cooked pork intestines', 'dry pot pork intestines']","['', '']",干锅 肥肠,0,,0,
云耳炸春卷,['fried vegetable spring rolls'],[''],云耳 炸 春卷,1,,1,
酥炸云吞,"['crispy won tons', 'deep fried wun tun']","['', '']",酥炸 云吞,1,,1,
腊味炒饭,"['chinese cured pork and sausage fried rice', 'diced chinese dried bacon & chinese sun-dried sausage fried rice']","['Chinese Dried Bacon, Chinese Sun-dried Sausage, Egg, Spring Onion, Rice', '']",腊味 炒饭,1,腊味,1,
斑腩豆腐煲,['monk fish fried bean curd and vegetables in clay pot'],[''],斑腩 豆腐 煲,1,,1,
椒盐软壳蟹,"['deep fried soft shell crab with garlic in spicy salt and pepper', 'salt and pepper soft shell crab', 'crispy soft shell crab with dry roasted sichuan pepper and spicy salt', 'soft shell crab with chilli and salt prawn crackers']","['', '', '', '']",椒盐 软壳 蟹,1,,1,
陈皮红豆沙,"['orange flavoured sweet red bean soup', 'tangerine-flavored red bean paste']","['', 'Orange Peel, Red Bean']",陈皮 红 豆沙,1,,1,
杨州炒饭,"['yang chow fried rice', 'yeung chow fried rice']","['', '']",杨州 炒饭,1,,1,
云吞汤,"['won ton soup', 'wun tun soup', 'wonton soup', 'home won ton soup']","['Homemade chicken and vegetable dumplings served in a light broth', '', 'Pork Dumpling, Chinese Cabbage, Corianda', '']",云吞 汤,2,云吞,1,1.0
鸡球炒面,['sliced chicken chow mein'],[''],鸡球 炒面,0,,0,
干牛丝,['crispy shredded beef'],[''],干牛丝,0,,0,
鱼香鸡,"['sliced chicken in hot and spicy sauce', 'yu xiang style chicken']","['', '']",鱼香 鸡,1,,1,
酥炸软壳蟹,['deep fried softshell crab with curry leaf dressing'],[''],酥炸 软壳 蟹,1,,1,
宫保什菜,"['kung po mixed vegetable', 'mixed vegetables kunpo style with cashewnuts']","['', '']",宫保 什菜,1,,1,
干烧鲈鱼,"['dry brised sea bass', 'dry braised sea bass']","['', '']",干烧 鲈鱼,0,,0,0.0
蒜香葱油饼,"['fried spring onion pancakes', 'spring onion pancakes']","['', '']",蒜 香 葱油 油饼 葱油饼,1,,1,
鸳鸯炒饭,['yin yan fried rice'],[''],炒饭 鸳鸯,2,鸳鸯,1,
黑椒粒粒香,"['fragrant black pepper sirloin beef', 'black pepper sirloin beef']","['', 'A warming peppery hot dish of diced sirloin beef stir fried with carrot mixed peppers and broccoli stems']",黑椒 粒粒 香,1,,1,
麻辣鸭舌,"['marinated spicy duck tongues', 'hot and spicy duck', 'plain cheung fun with sesame sauce']","['', 'Tongue', '']",麻辣 鸭舌,0,,0,
一碗香,['special cooked braised pork belly'],[''],香 一碗香 一碗,2,一碗香,1,3.0
咕噜猪肉,['sweet and sour pork'],[''],咕噜 猪肉,1,咕噜,1,
生炒牛肉饭,"['minced beef & lettuce fried rice', 'minced beef fried rice']","['', 'Beef, Lettuce, Egg, Rice, Spring Onion']",生 炒 牛肉 饭,0,,0,
雪菜大汤黄鱼,"['vegetable', 'stewed yellow croaker with bamboo shoots and preserved ']","['', '']",雪菜 大汤 黄鱼,1,,1,
咸蛋黄焗豆腐,['fried beancurd coated with salty duck egg yolk'],"['Beancurd, Salty Duck Egg Yolk, Spring Onion']",咸蛋 黄 焗 豆腐,1,,1,
飘香榴莲酥,"['durian crisp', 'durian crisp v']","['', '']",飘香 榴莲 酥,1,,1,
铁板黑椒羊肉,['sizzling sliced lamb in black pepper sauce'],[''],铁板 黑椒 羊肉,1,,1,
斋饺,"['veg dumpling', 'vegetable dumpling']","['', '']",斋 饺,0,,0,
上海小笼包,"['Steamed “Shanghai” pork dumpling', 'shanghai steamed dumpling ginger infused vinegar', 'mini shanghai dumplings', 'shanghai steamed dumplings ginger infused']","['', 'Bánh bao Thượng Hải', '', '', '']",上海 小笼 小笼包,1,,1,
叉烧炒面,"['szechuan starch jelly with house chilli sauce', 'char siu chow mein']","['', '']",叉烧 炒面,1,,1,
牛肉炒饭,"['mince beef fried rice', 'beef fried rice']","['', '']",牛肉 炒饭,0,,0,
带子饺,"['scallop dumplings pieces', 'scallop dumplings', 'scallop and prawn dumpling']","['', '', '']",带子 饺,0,,0,
福州炒饭,"['steamed lotus leaf rice with diced roasted duck and prawns', 'fried rice with mixed meat and prawn steamed and wrapped in lotus leaf']","['', '']",福州 炒饭,0,,0,
葱油拌面,"['scallion oil noodles with soysauce', 'noodles in scallion, oil and soy sauce']","['', '']",葱油 拌面,1,,1,
椒盐大虾球,"['prawn with spiced salt', 'salt and pepper king prawns']","['', '']",椒盐 大 虾球,0,,0,
春卷,"['spring rolls', 'chop chop spring rolls']","['Pancake, Stuffing of Pork & Shrimps or Vegetables', '']",春卷,1,,1,
酱虾子肉松茄子煲,"['casserole', 'braised eggplant with shrimps and pork floss with xo sauce']","['', '']",酱 虾子 肉松 茄子 煲,1,,1,
三杯鸡,"['stewed chicken with three cups sauce salt, sugar, rice wine', 'stewed chicken with ginger and wine in casserole']","['Chicken, Three Cups Sauce', '']",三杯 鸡 三杯鸡,2,三杯鸡,1,2.0
尖椒干豆腐,"['fried dry beancurd with chilli peppers', 'dry bean curd with chilli pepper']","['', '']",尖椒 干 豆腐,0,,0,
鸡蓉生菜饱,['fried minced chicken and nuts with lettuce wrap'],[''],鸡蓉 生菜 饱,1,,1,
干锅茶树菇,"['griddled tea plant mushrooms ', 'dry fried chinese mushroom and chinese sausage']","['', '']",干锅 茶树 茶树菇,0,,0,
越南春卷,"['vietnamese spring rolls with minced pork meat', 'vietnamese spring rolls']","['', '']",越南 春卷,1,,1,
酸菜鱼,"['fish with pickle cabbage', 'sliced fish pickled cabbage', 'fish with pickled cabbage', 'boiled fish with pickled cabbage and chili ']","['', '', '', '']",酸菜 酸菜鱼,0,,0,
香煎素菜饱,['pan fried lo han vegetable bun'],[''],香 煎 素菜 饱,0,,0,
干蒸烧卖皇,"['sui mai prawn and pork meat dumplings pieces', 'sui mai prawn and meat dumplings']","['', '']",干蒸 烧卖 皇,1,,1,
糟溜三白,"['sauteed three white slices chicken, fish and bamboo shoots ', 'with rice wine sauce']","['', '']",糟溜三白 三白 糟溜,3,糟溜三白,1,2.0
鱼香茄子,"['yu xian style braised aubergine with pork mince', 'spicy aubergine in hot and garlic sauce', 'aubergines yuxiang style', 'sauteed egglant with spicy garlic sauce', 'Yu-Shiang Eggplant', 'braised aubergine']","['', '', '', '', '', '']",茄子 鱼香 鱼香茄子,2,鱼香茄子 鱼香,1,2.0
麻婆豆腐,"['mapo tofu sauteed tofu in hot and spicy sauce', 'szechuan style po tofu with pork mince', 'legendary ma po tofu', 'Mapo Tofu', 'Traditional mapo tofu in spicy sauce', 'the legendary pock mark minced pork mapo beancurd', 'Mapo tofu', 'ma po tofu', 'mapo tofu chilli sauce']","['', 'A much loved Sichuan dish dating back to the Qing Dynasty named after the pock marked old Mrs Chen Minced pork in a spicy chilli bean paste with ginger garlic and braised silken tofu', 'Tofu with minced pork Sichuan preserved mustard greens chilli Sichuan peppercorns', '', '', '', '', '', '']",麻婆 豆腐 麻婆豆腐,1,,1,
各色饭面粉,['rice noodles and pho noodles'],[''],各色 饭 面粉,0,,0,
丝苗白饭,"['boiled rice', 'steamed jasmine rice', 'jasmine rice']","['', '(v)', '']",丝苗 白饭,0,,0,
白切鸡饭,['fragrant poached chicken with rice'],[''],白切 鸡饭,0,,0,
鸡丁炒河,['dry fried hor fun with chicken'],[''],鸡丁 炒河,0,,0,
酱芦笋炒鸡片,['chicken with asparagus in xo sauce'],[''],酱 芦笋 炒鸡片,0,,0,
酱牛肉,"['beef in brown sauce', 'seasoned beef']","['', '']",牛肉 酱牛肉,0,,0,
白饭,"['boiled rice', 'steamed rice']","['', '']",白饭,0,,0,0.0
椒盐豆腐,"['fried beancurd with chilli and salt', 'salt and pepper tofu bean curd', 'fried tofu with spiced salt ', 'salt and pepper tofu']","['', 'Fried tofu in spicy salt chilli garlic', '', '']",椒盐 豆腐,0,,0,
珍菌玉子豆腐煲,['claypot silken egg tofu with wild mushroom and vegetable'],['(v)'],珍菌玉子 豆腐 煲,1,,1,
酱羊肉,['sliced lamb in ok sauce'],[''],酱 羊肉,0,,0,
咕噜鸡,['sweet and sour chicken'],[''],咕噜 鸡,1,,1,
蟹柳粟米羹,"['crab meat and sweet corn soup', 'crab meat and sweetcorn soup']","['', '']",蟹 柳 粟米 羹,0,,0,
星洲炒米粉,"['singapore vermicelli', 'singapore style vermicelli with or without ham & shrimps', 'stir fried singapore vermicelli']","['Vermicelli, Vegetables, Sesame, with or without Ham & Shrimps', '', '']",星洲 炒 米粉,1,,1,
香港古老肉,"['sweet and sour pork hong kong style', 'sweet and sour pork']","['', '']",香港 古老 肉,1,,1,
牛腩饭,['beef brisket with rice'],['BEEF LAMB BRISKET;NOODLE SOUP;Beef Brisket Noodle Soup'],牛腩 牛腩饭,0,,0,
蚝油郊外时蔬,['chinese vegetables in oyster sauce'],[''],蚝油 郊外 时蔬,2,,1,
蒜蓉西兰花,"['stir fried broccoli in garlic sauce', 'broccoli in garlic sauce']","['', '']",蒜蓉 西兰 兰花 西兰花,1,,1,
葡汁海中宝,['sea treasures in coconut milk curry sauce'],[''],葡汁 海中宝 海中,3,海中宝,1,3.0
新疆大盘鸡,"['xinjiang chicken stew', 'spicy chicken with potatoes and noodles']","['', '']",新疆 大盘 大盘鸡,1,,1,
黑椒羊肉,['sliced lamb in black pepper sauce'],[''],黑椒 羊肉,0,,0,0.0
纸包虾,['paper wrapped prawns'],[''],纸包 虾,0,,0,
煎蛋,"['omelet', 'crispy fried egg']","['', '']",煎蛋,0,,0,0.0
干炒牛河,"['stir fried ho fun with beef', 'dry fried hor fun with beef', 'stir-fried rice noodles with beef', 'beef chow fun', 'fried ho fun with beef and beansprouts', 'stir friend ho fun with beef', 'Beef chow fun']","['Rice Noodles, Spring Onion, Beansprout, Beef', '', '', '', '', '', '']",干 炒 牛河,1,,1,
老干妈煸炒牛柳,['ma la beef tenderloin'],['peppers chilli and black bean sauce supplement of;Bell;with'],干妈 老干妈 煸炒 牛柳,1,,1,
香菇粟米饺,['chinese mushroom and corn dumplings v vg'],[''],香菇 粟米 饺,1,,1,
干炒牛肉河粉,"['Wok fried rice noodles with beef and soya sauce', 'dry fried ho fun with sliced beef']","['Hủ tiếu xào thịt bò', '']",干 炒 牛肉 河粉,1,,1,
冰镇拍黄瓜,['chilled cucumber with trout roe chilli garlic vinegar'],[''],冰镇 拍 黄瓜,0,,0,
白切鸡,"['ginger and scallion sauce', 'cantonese poached chicken', 'boiled chicken slices served with soy sauce, ginger sauce', 'White cut chicken', 'fragrant poached chicken']","['', '', '', '', '']",白切 鸡,0,,0,
绿耳仙霞,"['stir fried cloud fungus, lily bulb, gai lan, shiitake and macadamia', 'stir fried cloud fungus lily bulb gai lan shiitake and macadamia nut', 'stir fried cloud fungus lily bulb gai lan shiitake and macadamia']","['(v)', '', '']",绿耳仙霞 绿耳 仙霞,3,绿耳仙霞,1,3.0
粟米羹,['sweet corn soup'],[''],粟米 羹,0,,0,
椒盐毛菇,"['fried mushroom with chilli and salt', 'salt and pepper mushroom']","['', '']",椒盐 毛菇,0,,0,
毛氏红烧肉,"['braised pork belly in soy', 'braised side of pork with soy sauce']","['', '']",毛氏 红烧 烧肉 红烧肉,1,,1,
罗汉上素炒面,"['supreme vegetarian fried noodle v', 'singapore style fried rice noodles']","['', 'Please inform your host if you have any allergies food intolerances and or dietary requirements;V Vegetarian;S Spicy Chef Recommendation']",罗汉 上素 炒面,2,,1,
干烧伊面,['chinese mushroom and yee mein'],[''],干烧 伊面,1,伊面,1,1.0
豉汁青葱鸭片,['sliced roasted duck with spring onion in black bean sauce'],[''],豉汁 青葱 鸭片,1,,1,
鲜虾白菜饺,"['pak choy and prawn dumplings pieces', 'pak choy and prawn dumplings']","['', '']",鲜虾 白菜 饺,0,,0,
北京鸭,"['peking duck with seared foie gras and plum', 'peking foie gras and smoked duck']","['', '']",北京 北京鸭,1,,1,
芋泥小笼包,['sweet taro xiao long bao'],[''],芋泥 小笼 小笼包,1,,1,
腰果虾仁,"['king prawn with cashewnuts', 'sauteed shelled shrimp with cashew nuts']","['', '']",腰果 虾仁,0,,0,
迷你珍珠鸡,['chicken glutinous rice in lotus leaf'],[''],迷你 珍珠 珍珠鸡,1,,1,
素香酥鸭,['vegetarian aromatic duck'],[''],素 香酥 鸭,1,,1,
野山椒凤爪,['house pickled chilli with chicken feet'],[''],野山 椒 凤爪,1,,1,
红烧排骨,"['Braised Spareribs', 'barbecued spare ribs', 'barbecued pork spare ribs pieces']","['', '', '']",红烧 排骨,0,,0,
豉椒什菜,"['mixed vegetables in black bean sauce', 'v stir fried mixed vegetables with black bean sauce']","['', '']",豉椒 什菜,1,,1,
干蒸鱼蓉烧卖,"['fish sui mai fish meat dumplings pieces', 'fish sui mai fish meat dumplings']","['', '']",干 蒸鱼 蓉 烧卖,1,,1,
鲜虾云吞汤,['won ton soup'],[''],鲜虾 云吞 汤,1,,1,
鸡肉粟米羹,"['chicken and sweetcorn soup', 'chicken sweet corn soup', 'chicken and sweet corn sou']","['', '', '']",鸡肉 粟米 羹,0,,0,
鸡蓉粟米羹,"['minced chicken & sweet corn soup', 'chicken and sweet corn soup']","['Minced Chicken, Sweet Corn & Potato Starch', '']",鸡蓉 粟米 羹,1,,1,
椒盐大虾碌,"['salt and pepper tiger prawns in shell pieces', 'salt and pepper king prawns in shell']","['', '']",椒盐 大虾 碌,2,,1,
腰果鸡,"['chicken with cashewnuts n', 'chicken with cashew nuts']","['', '']",腰果 鸡,0,,0,
姜葱蒸带子,['steamed scallop in shell with ginger and spring onions'],[''],姜葱 蒸 带子,0,,0,
西湖牛肉羹,"['west lake beef soup', 'west lake mince meat soup']","['', '']",西湖 牛肉 羹,1,,1,
水煮鱼,"['sliced fish with chilli oil', 'sliced fish in hot chilli oil', 'spicy hot poached fish fillet', 'poached fish in chili oil ']","['', '', '', '']",水煮鱼,2,水煮鱼,1,2.0
安虾咸水饺,['savory meat croquette'],[''],安虾 咸 水饺,1,,1,
宫保大虾,"['king prawns kung po style', 'beef satay']","['', '']",大虾 宫保,1,宫保,1,1.0
椒盐鲜鱿,"['salt and pepper squid', 'fried squids with chilli and salt', 'salt & pepper calamari']","['Salt, Pepper, Calamari, Onion, Potato Starch', '', 'Fried Squid served with pepper garlic and chilli']",椒盐 鲜 鱿,0,,0,
素鸡猪拼,['vegetable chicken pork mixed'],[''],素鸡 猪 拼,1,,1,
糖醋排骨,"['sweet and sour spare ribs', 'sweet and sour rib with toasted sesame grape and pork floss', 'Sweet and Sour Spareribs']","['', '', '']",糖醋 排骨 糖醋排骨,0,,0,
时令蔬菜,"['stir fried market green vegetables spring onion oil and truffle', 'seasonal vegetable']","['', '(v)']",时令 蔬菜 时令蔬菜,0,,0,
孜然羊肉,"['stir-fried lamb with cumin', 'aromatic lamb with cumin', 'fried lamb with cumin', 'fried lamb with onions cumin seeds']","['Stir fried sliced lamb with mixed peppers and coriander infused in a spicy cumin flavour', '', '', '']",孜然 羊肉,0,,0,
油辔带子拌荷豆,['quick fried scallops with mange tout'],[''],油辔 带子 拌 荷豆,1,油辔,1,
红油抄手,"['sichuanese chao shou duplings', 'pork wonton in spicy red chilli oil soup', 'pork and prawn dumpling in chilli oil', 'won ton with garlic chilli oil and soy poached yolk', 'meat dumplings in spicy sauce']","['Meat Dumplings, Chilli', '', 'Chicken dumplings in hot chilli oil', '', '']",红油 抄手,1,,1,
干锅鸡,"['dry pot chicken', 'sauteed chicken with pepper in iron wok']","['', '']",干锅 鸡,0,,0,
鸡丝炒面,"['shredded chicken chow mein', 'stir-fried noodles with shredded chicken ', 'chicken chow mein', 'stir fried egg noodle with shredded chicken']","['', '', '', '']",鸡丝 炒面,1,,1,
潮州蒸粉果,"['chei chow fun kor spicy pork meat and nut dumplings pieces', 'stuffed mixed meat dumplings', 'chei chow fun kor spicy meat and nut dumplings', 'chui chow dumpling']","['', '', '', '']",潮州 蒸粉果,1,,1,
招牌炒面,['special chow mein'],[''],招牌 炒面,0,,0,0.0
叉烧餐饱仔,"['suitable for vegetarian denotes option', 'baked mini roast pork buns']","['', '']",叉烧 餐饱仔,2,,1,
干炒辣鸡丝,['crispy chilli shredded chicken'],[''],干 炒 辣 鸡丝,1,,1,
榨菜肉丝汤,"['shredded pork with preserved vegetable soup', 'pickle and shredded pork soup large']","['', '']",榨菜 肉丝 汤,0,,0,
馄饨汤面,"['wonton noodles soup', 'noodle soup with wonton ']","['', 'Wonton, Noodles, Vegetables']",馄饨 汤面,1,,1,
豆沙锅饼,"['red bean paste pancake', 'pan fried red bean pancake', 'Red bean mash puff']","['', '', '']",豆沙 锅饼,1,,1,
京都排骨,"[""Stir fried pork ribs with 'Kinh Do' sauce"", 'capital spare ribs', 'peking style spare ribs', 'peking style pork spare ribs pieces', 'barbecued pork spare ribs']","['', 'Sườn heo non sốt Kinh Đô', '', '', '']",京都 排骨,1,,1,
上海辣鸡翼,['shanghai hot chilli chicken wings'],[''],上海 辣鸡翼,1,,1,
鱼香茄子煲,"['braised aubergine with sweet & spicy sauce in casserole', 'braised yu xiang aubergine in claypot', 'essence of fish with aubergine and pork', 'Stewed eggplant with salted fish and minced pork in clay pot', 'yuxiang eggplant in casserole sauteed with spicy garlic sauce']","['( v )', 'Aubergine', '', '(v)', '']",鱼香 茄子 鱼香茄子 煲,1,,1,
沙爹鸡串,"['satay chicken vegetarian chicken', 'chicken skewer with peanut satay sauce', 'satay chicken on skewers']","['Chicken, Peanut Satay Sauce', '', '']",沙爹 鸡串,1,,1,
油辔海中宝,"['quick fried sea treasures monk fish scallops king prawns', 'quick fried sea treasures']","['', '']",油辔 海中宝 海中,3,油辔,1,3.0
黑松露水晶虾饺,['black truffle har gau'],[''],黑松 露 水晶 虾饺,1,,1,
扬州炒饭,"['yeung chow fried rice', 'special fried rice', 'young chow fried rice', 'Yeung Chow fried rice', 'yangzhou fried rice with diced ham & shrimps, sweetcorn, pea, carrot']","['', 'Ham, Shrimps, Sweetcorn, Pea, Carrot, Egg, Rice, Spring Onion', '', '', '']",扬州 炒饭,1,,1,
泰式炸鱼饼,['thai fish cakes'],[''],泰式 炸鱼 饼,0,,0,0.0
宫保带子,"['kung pao scallops', 'scallop kunpo style with cashewnuts']","['', 'spicy dishes;nut dishes;ingredient;special dietary needs please notify the staff who will be happy to help;LYS textindd']",宫保 带子,1,,1,
杨枝甘露冷,['mango pomelo sago chilled'],['78kcal'],冷 杨枝甘露 甘露 杨枝,3,杨枝甘露,1,3.0
蒜泥白肉,"['thin sliced pork rolls in spicy garlicky sauce', 'thin sliced pork rolls in SPICY GARLICKY SAUCE', 'sliced pork with garlic sauce', 'Shredded Pork with Garlic Sauce', 'sliced pork belly in garlic and chilli sauce']","['', '', '', '', '']",蒜泥 白肉,1,,1,
蒜炒四季豆,['string beans with garlic'],['Original 180kcal;Vegan'],蒜 炒 四季 四季豆,0,,0,
吉鱼鳟鱼,"['steamed fish sea bass / mandarin/flatfish / perch / sea bream / ', 'sea bream or bull trout']","['', '']",吉鱼 鳟鱼,0,,0,
